name,developer,date,platform,total_sales,NA_sales,PAL_sales,japan_sales,other_sales
Tetris,Alexey Pajitnov,01st Jan 88,Series,,,,,
Pokemon,Game Freak,28th Sep 98,Series,,,,,
Call of Duty,Infinity Ward,29th Oct 03,Series,,,,,
Super Mario,Nintendo,20th Jul 83,Series,,,,,
Grand Theft Auto,Rockstar North,27th Mar 98,Series,,,,,
FIFA,Extended Play Productions (1991-1997),15th Dec 93,Series,,,,,
Minecraft,Mojang,18th Nov 11,Series,,,,,
Minecraft,Mojang AB,18th Nov 11,All,,,,,
Lego,TT Fusion,26th Sep 97,Series,,,,,
Assassin's Creed,Ubisoft,13th Nov 07,Series,,,,,
The Sims,Maxis,04th Feb 00,Series,,,,,
Grand Theft Auto V,Rockstar North,17th Sep 13,All,,,,,
Mario Kart,Nintendo,01st Sep 92,Series,,,,,
Final Fantasy,Square,18th Dec 87,Series,,,,,
Need for Speed,EA Black Box,31st Aug 94,Series,,,,,
Tomb Raider,Core Design,14th Nov 96,Series,,,,,
Resident Evil,Capcom,30th Mar 96,Series,,,,,
Madden NFL,Park Place Productions,01st Jun 88,Series,,,,,
NBA 2K,Visual Concepts,10th Nov 99,Series,,,,,
The Legend of Zelda,Nintendo,14th Jul 87,Series,,,,,
Wii/Nintendo Sports,Nintendo,19th Nov 06,Series,,,,,
Pro Evolution Soccer/eFootball,Konami,22nd Dec 95,Series,,,,,
Sonic the Hedgehog,Sonic Team,23rd Jun 91,Series,,,,,
Monster Hunter,Capcom,21st Sep 04,Series,,,,,
Gran Turismo,Polyphony Digital,12th May 98,Series,,,,,
Dragon Quest,ArtePiazza,27th May 86,Series,,,,,
Wii Sports,Nintendo EAD,19th Nov 06,Wii,82.65m,41.36m,29.02m,3.77m,8.51m
Halo,Bungie,15th Nov 01,Series,,,,,
Battlefield,EA DICE,10th Sep 02,Series,,,,,
Borderlands,Gearbox Software,20th Oct 09,Series,,,,,
Animal Crossing,Nintendo,16th Sep 02,Series,,,,,
PUBG,PUBG Corporation,20th Dec 17,Series,,,,,
Worms,Team17,31st Oct 95,Series,,,,,
Mortal Kombat,Avalanche Software,08th Oct 92,Series,,,,,
Super Smash Bros.,Nintendo,26th Apr 99,Series,,,,,
Mario Party,Hudson Soft,01st Feb 99,Series,,,,,
Just Dance,Ubisoft,17th Nov 09,Series,,,,,
PlayerUnknown's Battlegrounds,PUBG Corporation,17th Dec 17,All,,,,,
Red Dead,Rockstar San Diego,04th May 04,Series,,,,,
WWE 2K,Visual Concepts,02nd Mar 00,Series,,,,,
Dragon Ball,Tose,27th Sep 86,Series,,,,,
God of War,SIE Santa Monica Studio,22nd Mar 05,Series,,,,,
Civilization,Firaxis Games,01st Sep 91,Series,,,,,
Counter-Strike,Valve,09th Nov 00,Series,,,,,
Donkey Kong,Nintendo,31st Jul 81,Series,,,,,
The Oregon Trail,MECC,03rd Dec 71,Series,,,,,
The Witcher,CD Projekt Red Studio,30th Oct 07,Series,,,,,
Metal Gear,Konami,13th Jul 87,Series,,,,,
The Elder Scrolls,Bethesda Softworks,25th Mar 94,Series,,,,,
Diablo,Blizzard North,03rd Jan 97,Series,,,,,
Tekken,Bandai Namco Studios,11th Dec 94,Series,,,,,
Lego Star Wars,TT Fusion,29th Mar 05,Series,,,,,
Far Cry,Ubisoft,23rd Mar 04,Series,,,,,
Mario Kart 8 Deluxe,Nintendo EPD,28th Apr 17,NS,13.05m,5.05m,4.98m,2.11m,0.91m
The Walking Dead: Telltale Games Series,Telltale Games,24th Apr 12,Series,,,,,
Bejeweled,PopCap Games,30th May 01,Series,,,,,
Crash Bandicoot,Naughty Dog,09th Sep 96,Series,,,,,
Red Dead Redemption 2,Rockstar Studios,26th Oct 18,All,,,,,
Warriors,Omega Force,30th Jun 97,Series,,,,,
Street Fighter,Capcom,30th Aug 87,Series,,,,,
Kirby,HAL Laboratory,01st Aug 92,Series,,,,,
Fallout,Interplay Entertainment,10th Oct 97,Series,,,,,
Terraria,Re-Logic,16th May 11,Series,,,,,
Terraria,Re-Logic,16th May 11,All,,,,,
Uncharted,Naughty Dog,20th Nov 07,Series,,,,,
Wii Fit,Nintendo,21st May 08,Series,,,,,
Star Wars: Battlefront,Pandemic Studios,21st Sep 04,Series,,,,,
Harry Potter,Griptonite Games,15th Nov 01,Series,,,,,
Total War,Creative Assembly,13th Jun 00,Series,,,,,
Animal Crossing: New Horizons,Nintendo,20th Mar 20,NS,,,,,
